C:10-H:16-O:2-X:4	C:H:O	3651:2921:9186	1895:1779:1725
C:6-H:2-Br:1-X:3	H:Br	2713:8952	1925:1794
H:6-O:2-S:1-X:2	N:C	2727:6696	1983:1874
C:5-H:8-Cl:2-X:2	O:H	6974:6963	1975:1837
C:11-H:18-O:5-X:2	O:H	5924:5920	1770:1779
Cu:1-H:10-O:9-X:1	S:Se	813:1323	1967:1714
Ca:1-X:2	O:S:Cl:Br:C:F:I	8580:1181:264:1264:2957:543:7086	1812:1845:1862:1981:1858:1738:1754
C:2-H:3-N:4-X:1	Ag:H	8506:8538	1912:1864
C:6-H:3-Br:1-O:3-X:2	Br:O	6213:5153	1905:1767
H:10-O:9-S:1-X:1	Cu:Fe:Zn	813:6309:1712	1967:1770:1926
C:8-H:19-P:1-X:2	Br:Cl	7655:7656	1939:1930
C:18-H:15-O:4-X:1	P:H	5929:10140	1743:1749
C:9-H:7-N:3-O:6-X:2	H:C	2422:5712	1897:1818
C:2-H:1-O:2-Tl:1-X:2	H:O	8458:8307	1955:1928
K:1-O:4-P:1-X:1	Sr:Ca:Mg	4820:4811:4737	1870:1862:1761
K:1-O:4-P:1-X:2	H:K	774:223	1796:1803
C:8-H:14-Cl:2-X:2	O:H	10044:6967	1809:1972
C:14-H:12-O:3-X:2	O:C	6219:5709	1772:1949
H:4-N:1-O:4-X:1	Cl:N:I	1767:10813:10821	1856:1839:1894
C:4-H:7-S:2-X:1	H:N	8185:3841	1908:1828
C:7-H:5-N:2-O:3-X:1	H:Cl	4919:9297	1839:1771
O:8-U:1-X:2	U:N:Mo:S	834:818:3567:3175	1863:1921:1831:1764
C:7-H:8-N:1-O:3-S:1-X:1	H:N	8843:6737	1726:1774
O:1-W:1-X:1	H:O:Na	921:342:929	1920:1834:1882
C:15-H:14-O:6-X:4	C:H	8044:11158	1941:1968
C:6-H:4-N:6-O:2-Pt:1-S:6-X:2	Na:K	6165:5856	1930:1895
C:4-H:6-N:2-O:3-X:1	Hg:C	5543:3463	1810:1842
C:4-H:6-N:2-O:3-X:2	H:C:N	1376:4918:2032	1787:1804:1836
O:1-W:1-X:4	F:Br:Cl	6546:2519:937	1918:1970:1912
H:1-Na:1-O:8-S:2-X:2	H:Na	5165:2366	1900:1950
C:6-H:1-Br:2-N:1-O:2-X:2	H:Br	9239:10134	1780:1795
H:4-N:1-Sb:1-X:4	I:Cl	7506:7823	1974:1941
O:8-Sr:3-X:2	P:As	6505:437	1774:1882
C:1-H:3-O:3-X:1	Li:N:S	4053:7568:11125	1979:1996:1744
C:14-H:8-N:1-O:4-X:1	N:H	8970:9270	1796:1929
H:4-N:1-Sb:1-X:6	Cl:F	7830:10274	1877:1946
C:2-Na:2-O:6-X:1	Mg:Cu	5176:7200	1874:1860
C:2-Cl:5-X:1	Cl:H	805:2915	1881:1911
Fe:1-O:1-X:1	Fe:Cl:H	7804:7113:1777	1787:1701:1926
Fe:1-O:1-X:3	Fe:O	2731:9409	1855:1983
C:6-H:7-O:4-X:1	H:P	2031:10084	1730:1909
C:7-H:4-O:2-X:2	N:Br:Cl:H	7704:10092:3660:1535	1807:1842:1732:1953
H:16-N:4-O:6-P:1-Pt:1-X:1	Br:Cl	9961:4406	1704:1789
C:7-H:4-O:2-X:4	H:O	1255:8614	1950:1904
C:7-H:13-N:1-X:2	C:O	4645:10064	1831:1793
K:1-Mo:1-S:4-X:1	K:S	1018:1029	1872:1878
C:8-H:19-O:1-X:1	As:P	7660:7696	1923:1907
C:4-H:8-X:1	C:O	11351:3886	1773:1886
C:5-O:3-X:10	Cl:H	3684:2454	1832:1923
C:4-Cl:2-O:1-X:8	Cl:H	2923:6966	1997:1831
C:4-H:8-X:2	Br:O:S:H	8793:2842:8185:5350	1925:1831:1908:1966
C:4-H:8-X:3	O:C	5277:3152	1733:1972
C:8-H:11-Cl:1-O:2-X:6	C:H	5081:7566	1965:1724
C:12-H:5-N:3-O:3-X:4	H:O	4047:4707	1760:1784
C:9-H:9-Br:1-X:2	Br:H:O	11151:10105:10596	1798:1828:1923
Co:1-S:3-X:1	C:Co	1049:2880	1987:1742
O:3-S:1-Tl:2-X:1	O:S	8200:9406	1733:1890
Cl:6-H:12-Ni:1-O:6-X:1	Pt:Sn	10887:10464	1817:1716
C:16-H:7-Br:2-N:3-O:3-X:2	H:Br	9660:3120	1900:1960
C:7-H:4-Cl:1-O:2-X:1	H:Cl	2846:3660	1729:1732
H:6-O:5-P:1-Zn:1-X:1	P:N	4197:2238	1733:1816
C:12-H:22-O:2-X:2	O:C:H	3851:10676:5281	1883:1911:1794
C:15-H:18-O:3-X:3	C:O	7022:11158	1720:1968
H:8-N:2-S:1-X:3	C:O	11036:613	1890:1723
C:12-H:22-O:2-X:4	H:S	9157:4428	1976:1938
H:8-N:2-S:1-X:4	S:O:C	3030:53:1954	1843:1918:1947
C:2-N:2-Zn:1-X:2	Se:S	5166:3404	1977:1961
H:8-N:2-S:1-X:6	S:O	3025:9358	1861:1864
O:1-V:1-X:2	Br:Cl:O	8609:1770:7394	1947:1851:1940
C:7-H:5-Br:2-O:2-X:1	N:Br	10108:4656	1715:1864
C:10-H:10-Cl:1-O:2-X:1	Cl:H	10146:10687	1739:1786
H:2-O:6-X:2	S:As:Sb:Bi	732:6337:403:7903	1915:1926:1713:1912
C:8-H:5-K:1-N:1-O:3-X:1	Cl:Br	2950:9684	1785:1799
C:4-H:6-O:8-X:1	C:Ca	8035:6457	1791:1964
B:1-F:4-X:1	H:K:Li:Na	430:1001:891:892	1994:1719:1701:1884
Ca:1-O:3-S:1-X:1	S:O	709:544	1915:1798
F:6-H:12-O:6-Zn:1-X:1	Si:Zr	7168:7561	1938:1971
C:2-H:6-Cl:2-X:1	Te:C	6204:5061	1910:1884
C:7-H:4-N:2-X:2	O:H	7704:6025	1807:1734
Mo:5-O:16-X:2	K:H	4578:10450	1824:1755
C:7-H:4-N:2-X:6	H:O	8060:4865	1889:1860
H:3-N:1-O:3-X:1	C:S	7568:411	1996:1740
N:2-O:2-Pb:1-X:2	O:C	381:877	1843:1770
C:7-H:4-N:2-O:2-X:4	H:O	6424:4865	1915:1860
C:8-H:5-N:1-O:2-X:2	H:Br	2816:10077	1712:1790
Ca:1-S:3-X:1	S:C:Te	748:1041:1218	1814:1716:1920
C:8-H:5-N:1-O:2-X:4	H:O	7717:3097	1893:1897
C:6-H:16-As:1-X:1	Br:I	5972:5993	1812:1895
Br:6-K:2-X:1	Pt:Te:Ir	1652:2083:9372	1929:1755:1978
H:12-I:1-N:4-Pt:1-X:3	I:Cl	9797:10915	1880:1903
Cl:4-W:1-X:1	Cl:O	6506:937	1963:1912
H:2-O:5-Se:1-X:1	Cd:Hg	7423:5625	1860:1763
C:4-H:11-O:3-P:1-X:1	S:O	7354:4847	1813:1928
C:8-H:12-Na:2-O:14-X:1	Ba:Sr	1052:1907	1865:1922
K:2-O:10-X:3	Cr:Mo	8221:4479	1934:1851
Ba:1-O:6-X:2	P:S:W:Br:Cl:N:I	563:1188:8269:1103:82:54:477	1716:1934:1828:1986:1843:1870:1768
O:1-U:1-X:1	H:O:S	830:3429:9405	1885:1852:1710
C:3-H:3-N:3-O:1-X:2	O:H	1400:7716	1759:1976
H:12-O:12-S:2-X:1	Co:Mg:Mn:Ni:Zn	1198:1122:6188:3508:1153	1770:1833:1740:1974:1853
C:5-H:7-O:3-X:1	Cl:Na:H:N	4727:10162:9743:6741	1816:1969:1853:1795
C:2-H:6-Cu:1-O:4-X:2	C:O	173:415	1830:1743
C:6-H:4-O:1-X:2	H:Br	1952:3852	1776:1873
C:8-H:6-Cl:2-O:1-X:2	O:H	3654:4655	1817:1966
H:1-N:1-S:1-X:1	Na:C	9000:319	1794:1708
C:9-H:18-O:1-X:1	C:O	2930:4636	1806:1883
S:4-Sb:1-X:1	Sb:Bi	832:3046	1764:1946
S:4-Sb:1-X:3	Ag:Na	3041:1574	1990:1870
C:9-H:8-Br:1-O:3-X:1	H:Br	11217:3657	1961:1946
O:8-S:2-Zn:1-X:2	K:Na	4153:9874	1907:1904
C:8-H:12-O:1-X:1	O:C	7107:6220	1756:1912
C:8-H:12-O:1-X:2	C:N	3153:2207	1721:1788
C:9-H:14-O:4-X:2	C:O:H	4667:5:2457	1814:1847:1826
C:8-H:12-O:1-X:6	O:H:C	5287:5263:1847	1965:1883:1795
C:3-H:2-Na:1-O:3-X:3	H:N	7329:4273	1800:1764
C:9-H:14-O:4-X:6	C:H	4882:9207	1776:1893
B:1-O:3-X:1	Al:B:Fe	4098:883:1296	1981:1826:1806
C:7-H:6-Br:1-O:2-X:1	H:N	9628:10673	1958:1733
As:2-S:5-Zn:1-X:1	Zn:S	1204:3217	1977:1769
B:1-O:3-X:3	Na:H:K	7723:257:1091	1721:1795:1975
H:3-O:5-S:1-X:1	H:Na	6038:5147	1706:1850
C:7-H:5-Br:1-N:1-O:2-X:1	Br:H	10108:10673	1715:1733
Ba:1-H:28-O:38-W:7-X:4	Na:H	7874:5837	1830:1938
Ca:1-H:12-O:6-X:2	I:Cl	1352:7443	1927:1952
C:8-H:6-Br:2-X:2	C:O:H	9594:11208:11175	1961:1891:1844
C:4-H:3-O:5-X:3	H:N	593:4022	1987:1963
Cl:2-H:3-N:1-X:1	Hg:Zn	1672:2773	1713:1743
C:6-H:11-N:1-O:3-X:4	H:C	8359:4668	1955:1815
C:1-Hg:1-N:2-X:1	Hg:C	10321:212	1748:1747
C:2-H:7-N:1-O:2-X:3	C:O	5579:3420	1874:1963
C:6-H:3-Cl:1-N:1-O:3-X:1	H:Cl	10103:3102	1955:1862
C:6-H:4-N:1-X:3	Cl:H:I:Br	3692:1257:9639:3384	1967:1769:1811:1998
H:6-N:2-O:3-S:1-X:1	O:Pd	3984:5644	1797:1845
H:2-N:1-O:2-X:1	N:P	305:6526	1760:1924
Cl:4-K:2-X:1	Pd:Pt	1409:7726	1863:1963
As:2-Cu:3-X:6	O:S	5591:1062	1828:1771
C:4-N:4-Pt:1-X:1	Ba:Mg:Hg:Cd:Pb:Zn:Cu:Ca	4323:4784:844:7890:7893:847:845:6136	1877:1968:1821:1843:1737:1768:1729:1905
H:1-Li:1-X:1	O:S:F	734:1124:932	1700:1710:1726
C:4-N:4-Pt:1-X:2	Ag:H:Li:K:Hg	4324:2378:6314:826:2385	1929:1834:1842:1970:1852
Ba:1-Cl:6-X:1	Pt:Ir	1436:8682	1886:1782
Co:1-O:3-X:1	C:S:Co	217:8996:1082	1711:1712:1889
Fe:3-Mn:1-O:20-W:5-X:1	Mn:Fe	7760:7761	1830:1930
Cu:2-P:2-S:3-X:2	Cu:S	3634:3623	1753:1986
C:6-H:1-Br:3-N:2-X:4	O:H	10135:10181	1831:1784
Li:2-O:4-X:1	S:W	575:2307	1865:1850
C:12-Cu:3-N:12-X:2	Ir:Co	7860:2128	1879:1929
C:6-H:16-N:2-O:1-X:7	O:C	7672:10341	1831:1958
H:8-N:2-O:10-X:1	Mg:Cd:Zn	3931:6077:7124	1994:1728:1877
C:4-H:7-O:2-X:1	K:Cl:Na:H:Br:Ag:I:N	3676:6701:5964:2842:7982:8133:7352:6703	1946:1782:1904:1831:1809:1937:1936:1718
C:21-H:17-N:2-X:1	H:N	2449:6439	1745:1700
C:4-H:7-O:2-X:3	N:H	4095:6366	1726:1806
O:1-S:1-X:1	I:C:H:O:U:Pt	7965:2254:4581:30:9405:140	1758:1735:1880:1876:1710:1819
O:1-S:1-X:2	Cl:O:Zn:Co	6500:118:931:920	1719:1967:1963:1945
Cl:1-O:1-S:1-X:1	Na:Cl:K	2338:6500:2339	1772:1719:1839
Na:1-O:4-S:1-X:1	Li:H:Na	10434:224:249	1740:1974:1975
C:8-H:20-I:1-X:1	N:P:Sb:As	5309:6758:6453:5973	1760:1969:1904:1868
Ca:1-H:4-O:6-P:1-X:1	P:H	4144:6499	1707:1807
C:5-H:11-X:1	H:I:N:Br:Cl:Na	8567:5270:2855:5135:3837:11274	1961:1819:1905:1800:1975:1952
C:12-H:14-O:2-X:1	C:O	3864:5532	1842:1979
C:12-H:14-O:2-X:2	O:C:H	1926:8424:3100	1717:1862:1737
C:5-H:10-Br:1-O:1-X:1	Br:Cl	9557:8002	1859:1900
C:6-H:1-Cl:1-O:2-X:2	Cl:H	2813:4871	1870:1708
C:12-H:14-O:2-X:4	C:H	11169:10686	1916:1734
C:8-H:19-N:1-O:1-X:2	O:H	8468:5332	1758:1771
C:23-H:27-I:1-N:2-X:2	C:O	7349:5987	1978:1862
C:10-H:15-X:1	H:N	18:5134	1759:1764
C:6-H:2-Br:2-O:2-X:2	O:Br	5945:5939	1716:1984
Se:3-X:2	P:As:Tl:Bi:Sb:Al:Fe	8969:7433:10431:642:6856:1356:7177	1710:1853:1983:1823:1930:1790:1957
C:9-H:11-O:1-X:1	Cl:N:H	8418:2565:6220	1960:1740:1912
C:6-H:3-Cl:1-O:5-S:1-X:2	O:Cl	11266:11267	1943:1899
C:8-H:8-N:1-O:4-X:1	N:H	9624:2439	1990:1800
Ca:1-O:3-X:1	Se:Ti:S:C	614:8579:1087:303	1993:1904:1967:1711
C:2-H:1-Cl:4-O:1-X:1	H:N	2916:4223	1845:1769
Cl:4-H:2-K:2-O:1-X:1	Zn:Hg	1799:2110	1797:1760
C:4-H:8-N:2-O:4-X:4	H:C	1551:9624	1824:1990
H:3-O:5-P:1-X:1	Fe:Zn	7825:2732	1805:1777
H:1-O:8-S:2-X:3	Na:K	2366:5215	1950:1891
C:4-H:4-O:10-S:2-X:2	H:C	3076:7641	1733:1794
C:6-H:10-N:1-O:2-X:1	N:H	9723:4637	1773:1740
C:2-H:6-O:6-X:1	Sr:Fe:Cu:Mg	5317:8645:415:7325	1800:1918:1743:1954
C:2-H:6-O:6-X:2	C:P:S	65:9167:6407	1967:1968:1733
C:2-H:1-Cl:1-X:2	H:Cl	2260:9195	1769:1772
K:3-O:4-X:1	As:Cr:P:Sb:Ta	790:4499:223:2997:4114	1923:1793:1803:1980:1918
C:3-H:5-Br:1-X:2	Br:H:Cl:O	6646:9720:6692:8164	1727:1960:1930:1980
C:2-H:6-N:1-O:1-X:1	N:H	4723:8528	1841:1934
C:2-H:1-Cl:1-X:4	Cl:H	2915:1071	1911:1704
C:6-H:5-N:3-O:3-X:2	H:O	9281:1539	1837:1846
O:7-Te:2-X:1	S:Se	7779:646	1956:1721
C:9-H:3-N:1-X:12	H:N	6698:6260	1908:1740
H:5-N:1-O:4-P:1-X:1	K:H:Na	4552:775:2065	1925:1975:1940
C:10-H:24-N:1-X:1	I:N	5314:7268	1789:1878
C:8-H:7-O:5-X:1	H:N	5156:3381	1875:1865
H:1-N:1-O:1-X:1	O:P:C	98:2123:1508	1881:1816:1859
H:1-N:1-O:1-X:2	O:Hg:C:H	2:3016:1705:9666	1815:1824:1916:1765
C:2-H:6-O:1-S:2-X:1	C:O	2263:11104	1727:1868
Cl:4-H:2-X:1	Pd:Pt	1320:433	1840:1933
C:12-H:14-N:2-X:2	N:C	4856:9328	1753:1709
C:14-H:66-N:12-O:37-X:1	Cd:Mg	6794:6343	1966:1869
H:12-O:9-S:2-X:1	Mg:Ca:Ni:Co	3294:714:3218:3297	1819:1704:1888:1779
H:1-N:1-P:1-X:1	O:N	2123:6575	1816:1835
H:1-O:1-S:2-X:1	U:Th	3302:9095	1927:1841
Na:2-O:7-X:2	W:Cr:Mo:U	7769:2984:4486:7805	1759:1967:1878:1899
C:1-Ag:1-N:1-X:1	Se:O:S	5330:1515:692	1712:1882:1958
H:1-O:1-S:2-X:2	Bi:Al	3746:5859	1878:1993
Na:2-O:7-X:3	Si:Pt	8581:1885	1981:1801
C:8-H:7-Cl:1-O:1-X:1	O:C	4706:4907	1821:1707
C:9-H:11-N:1-X:1	C:O	4646:2565	1976:1740
C:8-H:7-Cl:1-O:1-X:2	O:H	3379:3377	1802:1775
C:9-H:11-N:1-X:2	C:O:H	11193:5328:4645	1723:1774:1831
Mg:1-O:4-X:1	Se:Te:S:W:Mo	7410:2135:1252:7737:5583	1835:1779:1878:1832:1796
C:9-H:11-N:1-X:3	C:O	8489:5114	1817:1950
Mg:1-O:4-X:2	B:Al:C:Cr:N	1968:5781:1521:3507:4471	1908:1880:1937:1706:1989
C:9-H:11-N:1-X:4	C:H	5107:6698	1999:1908
Br:1-H:1-O:1-X:1	Fe:Th	1569:1618	1759:1929
C:1-H:4-O:2-S:1-X:1	C:O	8531:3913	1856:1911
Cu:1-H:12-N:4-O:6-X:2	S:Br	1217:3062	1773:1997
H:4-Hg:1-O:8-X:2	Br:N	3300:4133	1914:1917
C:3-H:7-O:1-X:1	N:H:Cl	4627:2202:8177	1837:1956:1713
C:9-H:10-N:2-O:4-X:2	C:H	5947:2153	1986:1968
O:1-P:1-X:3	Br:Cl:O:F:P	4929:4461:2174:5780:2470	1929:1982:1892:1985:1814
H:6-N:1-O:6-Sb:1-X:4	C:H	4318:1704	1738:1916
C:17-H:16-O:3-X:4	C:O	6724:4653	1930:1840
C:2-H:2-Br:2-X:2	Br:O:H	8190:6944:1256	1718:1802:1825
K:2-O:4-P:1-X:1	H:K	4262:223	1877:1803
Cl:3-H:8-N:1-O:2-X:1	Zn:Cu	4605:4609	1950:1972
Sn:2-X:3	S:Pd	559:7175	1963:1739
C:4-H:12-I:3-X:1	N:As	6478:7686	1800:1745
H:12-N:4-Pd:1-X:2	F:Br:I:Cl	5671:5590:5665:2990	1987:1734:1906:1978
C:4-H:10-Cl:2-X:1	Sn:C	7681:6963	1700:1837
C:6-H:10-O:3-X:1	C:O	6404:1533	1741:1962
C:6-H:10-O:3-X:2	H:O	2297:4016	1729:1994
C:6-H:10-O:3-X:3	C:O	4037:2415	1852:1886
C:6-H:10-O:3-X:4	H:O	9194:2149	1916:1924
C:6-H:10-O:3-X:5	C:O	5714:287	1826:1714
Ni:1-O:4-X:1	Se:S	7420:887	1725:1956
H:5-N:1-O:4-X:1	Se:S	627:375	1821:1794
C:3-H:6-O:7-S:1-X:1	C:S	3075:10857	1878:1848
Ni:1-O:4-X:2	Ni:N	5803:4492	1904:1970
C:20-H:22-O:4-X:4	C:H	7309:5999	1762:1941
C:7-H:6-N:2-O:3-X:2	H:O	4922:3649	1837:1813
C:2-H:2-Cl:3-O:1-X:1	Cl:N:P	2916:4019:4221	1845:1783:1759
C:6-H:1-Br:3-N:1-O:2-X:1	H:Br	10148:10134	1853:1795
Cl:4-H:14-N:4-X:1	Pt:Cu	6373:5613	1969:1864
H:16-N:1-O:10-P:1-X:1	Mg:Ni	8230:9106	1732:1738
C:2-H:3-O:3-X:1	Cr:N:Na:H	10830:3372:8135:4466	1706:1722:1958:1983
C:8-H:15-X:1	H:N	10016:11105	1856:1798
C:12-H:7-N:1-X:4	H:Br	8489:9248	1817:1964
C:6-H:4-N:3-O:2-X:1	Br:Cl:N	10726:10713:8587	1931:1719:1894
C:6-H:4-N:3-O:2-X:3	N:H:Br	10187:5755:8874	1892:1773:1739
C:12-H:11-X:3	H:N	2934:8157	1982:1938
Ag:2-H:4-N:4-O:9-P:4-X:4	Ag:H	10894:10895	1923:1990
C:3-H:7-N:1-X:1	O:C	4627:4268	1837:1795
C:3-H:7-N:1-X:2	O:S:H	1746:10025:5349	1895:1883:1913
C:8-H:4-O:2-X:2	Cl:H	8539:9740	1877:1859
C:3-H:7-N:1-X:3	C:O	1257:9547	1769:1876
C:7-H:7-O:4-X:3	N:H	8854:3155	1750:1916
C:20-H:26-N:1-X:1	H:N	7635:9338	1901:1786
C:2-H:5-O:1-S:1-X:1	H:N	8552:9353	1832:1810
C:6-H:4-Br:2-I:1-N:2-X:1	Cl:Br:I	10737:10731:10743	1789:1890:1760
C:2-H:5-Zn:1-X:1	H:I	5723:10247	1764:1778
C:6-H:4-I:1-X:1	Cl:H:Br:I	9759:7745:10081:8414	1918:1942:1841:1908
Cu:2-S:5-X:2	As:P	1059:3623	1970:1986
C:6-Fe:1-K:2-N:6-X:1	Ca:K:Zn:Ba:Fe	6542:863:10839:6518:195	1840:1710:1954:1960:1941
C:1-H:6-N:2-S:1-X:1	O:S	10827:899	1954:1993
C:6-H:7-Na:1-O:3-X:2	H:C	8899:11310	1978:1916
C:17-H:32-O:2-X:2	O:H	7995:6708	1778:1888
C:7-H:16-O:3-X:1	S:C	7252:8821	1800:1801
Na:1-O:4-P:1-X:1	Mg:Sr:Zn:Ca	4816:4806:10860:4729	1891:1817:1812:1826
Na:1-O:4-P:1-X:2	H:Na	2048:301	1918:1868
C:5-H:13-I:1-N:1-X:1	I:Br	10203:10174	1900:1785
C:22-H:16-N:2-X:2	H:O	9657:4437	1949:1956
C:7-H:16-O:3-X:4	O:C	4416:11243	1788:1869
Hg:3-O:6-X:1	Cr:S:Se	4160:2606:5624	1976:1896:1828
C:4-H:5-Na:1-O:2-X:2	H:O	5964:2177	1904:1707
C:8-H:7-Cl:1-N:1-O:1-X:1	H:Cl	7701:8425	1807:1702
H:4-O:8-S:4-X:1	Ba:Pb	3321:3362	1927:1762
C:11-H:18-O:4-X:2	O:C	7976:8861	1953:1768
C:10-H:16-O:1-X:6	O:H	10547:6369	1999:1882
C:11-H:18-O:4-X:3	C:O	7021:5924	1893:1770
C:1-H:3-Li:1-O:2-X:1	O:C	4053:4896	1979:1987
C:8-H:10-N:3-O:2-X:1	H:N	7623:3647	1907:1879
C:8-H:7-N:1-O:3-X:2	C:O:Cl:H	8050:3381:11254:4873	1753:1865:1951:1965
C:10-H:6-O:5-X:2	N:H	6423:7287	1784:1760
C:2-H:3-Na:1-O:1-X:2	O:H	8135:5311	1958:1973
H:1-Na:2-O:8-S:2-X:1	K:Na	10317:2366	1708:1950
H:6-Mo:3-O:3-X:6	Br:Cl	7217:7218	1730:1770
C:10-H:12-O:4-X:1	O:C	9675:6722	1867:1873
C:10-H:12-O:4-X:2	Cl:C	9188:8543	1927:1760
C:10-H:22-Cl:1-O:2-X:1	N:P	8515:8524	1784:1973
C:12-H:10-N:2-O:1-X:2	C:N	6177:10213	1965:1710
C:10-H:12-O:4-X:6	C:H	6218:2680	1839:1926
C:5-H:9-Na:1-X:2	O:H	8505:11274	1736:1952
As:2-O:8-X:3	Mg:Ni:Sr:Ca:Ba:Cu	2521:183:437:1761:436:3534	1736:1814:1882:1794:1775:1830
C:3-H:7-Cl:1-O:1-X:1	O:C	6022:8162	1913:1937
H:14-N:5-O:8-Pt:1-S:1-X:1	Cl:Br	9983:9984	1984:1972
C:4-H:5-Cl:2-O:2-X:1	H:Cl	3843:2806	1746:1959
H:4-N:1-O:3-X:1	Cl:N:Br:I:P	85:274:2995:471:4741	1802:1835:1862:1792:1822
H:12-N:4-O:6-S:2-X:1	Cu:Cd:Zn	1217:3643:3602	1773:1733:1827
C:7-H:5-N:2-O:2-X:3	Br:H	9686:6424	1831:1915
C:4-H:6-N:2-O:2-X:2	H:C:N	3844:4246:9357	1735:1853:1798
As:2-Mg:2-O:6-X:1	Mg:O	5020:4751	1745:1993
C:1-H:3-O:2-X:1	C:N	1380:5877	1998:1804
Cl:3-N:1-O:1-X:1	Ru:Sn:Ti:Fe	7461:8639:8761:8634	1953:1837:1929:1709
Cl:3-H:16-N:1-O:6-X:1	Mg:Co:Ni	4500:4539:343	1717:1789:1948
C:18-H:18-O:6-S:1-X:2	H:O	4900:7187	1762:1818
C:23-H:26-N:2-O:2-X:2	Br:O	8128:4090	1938:1759
Cl:6-Pd:1-X:2	H:K	1461:1401	1975:1986
C:2-Cl:4-X:2	Cl:Br:H	805:4008:2549	1881:1757:1888
Cd:2-Cl:6-X:1	Ni:Sr:Ba:Ca:Co	6104:6091:6092:6044:6047	1764:1958:1948:1936:1815
C:6-H:3-N:3-O:1-X:6	H:O	8848:3	1789:1910
H:1-O:1-P:2-X:3	Ca:Co:Mg	4292:5432:2785	1894:1967:1863
C:7-H:4-O:1-X:2	Cl:H	5548:998	1837:1720
C:6-H:7-O:3-X:3	N:H	9281:8884	1837:1817
C:6-H:3-N:6-X:1	Co:Fe:Ir:Cr	4263:839:7810:9061	1729:1810:1761:1796
C:6-H:3-Br:1-N:2-X:2	H:Cl	8520:10729	1791:1725
C:6-H:3-Br:1-N:2-X:4	O:Br	9737:10185	1868:1842
C:12-H:6-O:2-X:10	O:H	3099:3100	1887:1737
H:14-N:6-O:6-Pt:1-X:2	H:O	9162:5053	1731:1914
C:9-H:7-Br:2-O:2-X:1	H:Br	8857:10693	1873:1903
C:6-H:15-O:2-P:1-X:2	O:S	4849:7254	1707:1799
Cl:2-H:12-O:6-X:1	Mg:Ni:Ca:Co	9019:3490:7443:10338	1815:1949:1952:1938
C:7-H:4-Cl:1-O:1-X:1	Cl:H	5548:1938	1837:1794
H:16-Mg:1-N:1-O:10-X:1	As:P	1693:8230	1968:1732
C:14-H:12-N:2-X:2	O:H	4104:9328	1860:1709
C:8-H:15-O:3-X:1	N:H	8046:8821	1843:1801
C:10-H:13-O:4-S:1-X:1	Na:H	5735:6747	1881:1876
C:14-H:12-N:2-X:4	H:O	7080:4888	1905:1919
C:7-H:5-Br:2-O:1-X:1	H:Br	3652:10115	1920:1919
H:2-O:5-X:3	Fe:Si:C:Cr	2523:9483:2007:3727	1979:1884:1825:1786
H:6-N:2-Zn:1-X:2	Cl:Br	2077:3193	1894:1712
H:4-O:5-S:1-X:1	Ca:Cd	3780:4414	1848:1730
C:14-H:12-O:2-X:2	N:H	4104:8424	1860:1862
H:4-O:5-S:1-X:2	K:C	3712:3847	1776:1791
C:2-H:3-Cl:2-N:1-X:1	C:O	7595:8010	1827:1881
C:15-H:14-O:5-X:1	C:O	6799:9727	1906:1991
C:2-H:1-N:4-O:1-Pt:1-X:2	C:Cl	2384:11048	1800:1835
C:1-H:3-N:2-X:1	H:Cu	12:9509	1701:1899
C:4-H:6-O:7-X:1	S:Ba:Mg:Pb	3075:1911:3292:7841	1878:1864:1978:1888
H:14-Mg:1-O:11-X:1	Cr:Mo:S:W	283:10414:1311:10392	1979:1892:1858:1731
H:20-N:2-O:14-S:2-X:1	Cu:Fe:Ni:Co:Mg:Cd	2104:1553:6049:2218:2369:6064	1945:1716:1713:1748:1759:1802
C:8-H:6-N:1-O:2-X:1	H:Br:N	2816:10193:9750	1712:1719:1911
C:6-H:12-N:1-O:3-X:3	H:N	8359:10005	1955:1791
Cl:3-H:3-N:1-X:1	Al:Sb	1881:1687	1796:1791
C:5-H:7-N:1-O:2-X:1	C:O:S	7720:6741:9581	1969:1795:1814
C:2-H:1-Cl:1-N:1-O:1-X:3	H:Cl	6820:4223	1775:1769
Ca:1-H:1-O:2-X:1	H:P	73:1498	1764:1825
C:4-Au:1-N:4-X:1	K:H:Ag	3200:3278:3281	1758:1873:1938
C:19-H:14-O:3-X:2	N:O	9269:7688	1794:1736
C:19-H:14-O:3-X:3	C:O	10799:8044	1856:1941
H:2-Hg:1-N:1-O:3-X:1	I:N	4005:2733	1945:1825
C:2-H:3-Cl:2-O:1-X:1	H:N	9441:8010	1757:1881
C:10-H:11-N:3-O:4-X:4	C:O	7633:10657	1845:1989
H:4-N:2-O:5-P:2-X:1	Cd:Ba	6544:9117	1972:1979
C:7-H:4-N:1-X:1	H:Cl	1941:6987	1992:1715
C:17-H:20-O:5-X:3	C:O	6223:10679	1979:1927
C:6-H:7-N:3-X:2	O:H	5755:5064	1773:1811
Cr:1-H:1-O:1-X:1	Ca:Cl	5203:3736	1745:1904
H:5-N:3-O:4-P:2-X:2	H:Pb	9809:9857	1712:1975
C:1-N:1-O:2-X:3	Cl:Br:H	4638:5914:5877	1797:1962:1804
I:3-K:1-X:1	Hg:Zn	1300:2616	1980:1781
Cl:2-O:1-U:1-X:1	H:O	843:133	1758:1965
C:8-H:4-X:2	H:N	11325:8188	1987:1701
H:6-N:2-X:1	Zn:O	9038:8646	1716:1980
